name	resolved	status	has_photo	views_3mo
Gloria Steinem	Gloria Steinem	OK	1	142855
Harvey Milk	Harvey Milk	OK	1	129065
Greta Thunberg	Greta Thunberg	OK	1	242930
Malala Yousafzai	Malala Yousafzai	OK	1	315514
Julian Assange	Julian Assange	OK	1	234042
Edward Snowden	Edward Snowden	OK	1	510746
Terry Fox	Terry Fox	OK	1	135497
Helen Keller	Helen Keller	OK	1	481689
Florence Nightingale	Florence Nightingale	OK	1	241665
Pope Francis	Pope Francis	OK	1	381421
Pope John Paul the Second	Pope John Paul II	OK	1	267771
Mother Teresa	Mother Teresa	OK	1	352880
Dalai Lama	Dalai Lama	OK	1	125960
Martin Luther	Martin Luther	OK	1	294310
Francis of Assisi	Francis of Assisi	OK	1	198083
Saint Patrick	Saint Patrick	OK	1	89812
Rumi	Rumi	OK	1	161940
Deepak Chopra	Deepak Chopra	OK	1	60619
Galileo Galilei	Galileo Galilei	OK	1	214815
Nicolaus Copernicus	Nicolaus Copernicus	OK	1	140027
Johannes Kepler	Johannes Kepler	OK	1	65499
Tycho Brahe	Tycho Brahe	OK	1	68182
Isaac Newton	Isaac Newton	OK	1	427666
Albert Einstein	Albert Einstein	OK	1	884148
Stephen Hawking	Stephen Hawking	OK	1	564769
Charles Darwin	Charles Darwin	OK	1	244854
Marie Curie	Marie Curie	OK	1	462466
Louis Pasteur	Louis Pasteur	OK	1	114496
Nikola Tesla	Nikola Tesla	OK	1	537132
Thomas Edison	Thomas Edison	OK	1	264511
Alexander Graham Bell	Alexander Graham Bell	OK	1	181258
Johannes Gutenberg	Johannes Gutenberg	OK	1	84564
Isambard Kingdom Brunel	Isambard Kingdom Brunel	OK	1	87599
Robert Oppenheimer	J. Robert Oppenheimer	OK	1	703753
Niels Bohr	Niels Bohr	OK	1	127280
Erwin Schrödinger	Erwin Schrödinger	OK	1	98485
Werner Heisenberg	Werner Heisenberg	OK	1	178356
Richard Feynman	Richard Feynman	OK	1	284739
Alan Turing	Alan Turing	OK	1	538972
Ada Lovelace	Ada Lovelace	OK	1	242789
Grace Hopper	Grace Hopper	OK	1	69552
Katherine Johnson	Katherine Johnson	OK	1	174820
Rosalind Franklin	Rosalind Franklin	OK	1	93481
Alexander Fleming	Alexander Fleming	OK	1	85440
Jonas Salk	Jonas Salk	OK	1	80601
Sigmund Freud	Sigmund Freud	OK	1	367236
Carl Jung	Carl Jung	OK	1	311900
Ivan Pavlov	Ivan Pavlov	OK	1	38929
Jane Goodall	Jane Goodall	OK	1	197122
Rachel Carson	Rachel Carson	OK	1	48305
Carl Sagan	Carl Sagan	OK	1	226548
Neil deGrasse Tyson	Neil deGrasse Tyson	OK	1	256579
Bill Nye	Bill Nye	OK	1	117264
David Attenborough	David Attenborough	OK	1	711622
George Washington Carver	George Washington Carver	OK	1	112391
René Descartes	René Descartes	OK	1	158872
Srinivasa Ramanujan	Srinivasa Ramanujan	OK	1	341057
John von Neumann	John von Neumann	OK	1	159476
Alfred Nobel	Alfred Nobel	OK	1	96640
Mikhail Kalashnikov	Mikhail Kalashnikov	OK	1	91506
Tim Berners-Lee	Tim Berners-Lee	OK	1	165662
Linus Torvalds	Linus Torvalds	OK	1	195608
Steve Wozniak	Steve Wozniak	OK	1	185293
Vishy Anand	Viswanathan Anand	OK	1	78006
Garry Kasparov	Garry Kasparov	OK	1	163055
Bobby Fischer	Bobby Fischer	OK	1	232361
Magnus Carlsen	Magnus Carlsen	OK	1	353363
APJ Abdul Kalam	A. P. J. Abdul Kalam	OK	1	363311
Neil Armstrong	Neil Armstrong	OK	1	346169
Buzz Aldrin	Buzz Aldrin	OK	1	260855
Yuri Gagarin	Yuri Gagarin	OK	1	212373
Valentina Tereshkova	Valentina Tereshkova	OK	1	109552
Sally Ride	Sally Ride	OK	1	139187
Mae Jemison	Mae Jemison	OK	1	33931
John Glenn	John Glenn	OK	1	139484
Amelia Earhart	Amelia Earhart	OK	1	393806
Charles Lindbergh	Charles Lindbergh	OK	1	202774
Orville Wright	Wright brothers	OK	1	220113
Wilbur Wright	Wright brothers	OK	1	220113
Steve Jobs	Steve Jobs	OK	1	846628
Bill Gates	Bill Gates	OK	1	465594
Elon Musk	Elon Musk	OK	1	2511232
Jeff Bezos	Jeff Bezos	OK	1	3321950
Mark Zuckerberg	Mark Zuckerberg	OK	1	532016
Walt Disney	Walt Disney	OK	1	461790
Henry Ford	Henry Ford	OK	1	231791
John D. Rockefeller	John D. Rockefeller	OK	1	340048
Andrew Carnegie	Andrew Carnegie	OK	1	164948
J. P. Morgan	J. P. Morgan	OK	1	230100
Cornelius Vanderbilt	Cornelius Vanderbilt	OK	1	131923
Howard Hughes	Howard Hughes	OK	1	423305
Ray Kroc	Ray Kroc	OK	1	224215
Colonel Sanders	Colonel Sanders	OK	1	410188
Adam Smith	Adam Smith	OK	1	132195
Warren Buffett	Warren Buffett	OK	1	456537
Charlie Munger	Charlie Munger	OK	1	109155
Richard Branson	Richard Branson	OK	1	224890
Rupert Murdoch	Rupert Murdoch	OK	1	401171
Ted Turner	Ted Turner	OK	1	217660
Larry Ellison	Larry Ellison	OK	1	413737
Larry Page	Larry Page	OK	1	304478
Sergey Brin	Sergey Brin	OK	1	287949
Sundar Pichai	Sundar Pichai	OK	1	266557
Satya Nadella	Satya Nadella	OK	1	163902
Tim Cook	Tim Cook	OK	1	262642
Steve Ballmer	Steve Ballmer	OK	1	158941
Jensen Huang	Jensen Huang	OK	1	496162
Jack Dorsey	Jack Dorsey	OK	1	108084
Jack Ma	Jack Ma	OK	1	137091
Mukesh Ambani	Mukesh Ambani	OK	1	242441
Ratan Tata	Ratan Tata	OK	1	403005
Mark Cuban	Mark Cuban	OK	1	259709
Kevin O'Leary	Kevin O'Leary	OK	1	258622
Peter Thiel	Peter Thiel	OK	1	1092311
Tony Robbins	Tony Robbins	OK	1	163113
Gary Vaynerchuk	Gary Vaynerchuk	OK	1	77374
Jim Cramer	Jim Cramer	OK	1	50893
Jimmy Wales	Jimmy Wales	OK	1	107420
Vitalik Buterin	Vitalik Buterin	OK	1	49724
Martha Stewart	Martha Stewart	OK	1	317544
Kris Jenner	Kris Jenner	OK	1	477730
Leonardo da Vinci	Leonardo da Vinci	OK	1	432729
Michelangelo	Michelangelo	OK	1	244617
Raphael	Raphael	OK	1	120325
Donatello	Donatello	OK	1	40636
Sandro Botticelli	Sandro Botticelli	OK	1	58025
Caravaggio	Caravaggio	OK	1	146724
Rembrandt	Rembrandt	OK	1	148773
Johannes Vermeer	Johannes Vermeer	OK	1	94385
Francisco Goya	Francisco Goya	OK	1	134922
Hokusai	Hokusai	OK	1	69909
Vincent van Gogh	Vincent van Gogh	OK	1	485654
Claude Monet	Claude Monet	OK	1	163532
Pablo Picasso	Pablo Picasso	OK	1	383734
Henri Matisse	Henri Matisse	OK	1	100662
Edvard Munch	Edvard Munch	OK	1	109010
Wassily Kandinsky	Wassily Kandinsky	OK	1	74970
Marc Chagall	Marc Chagall	OK	1	73462
Salvador Dalí	Salvador Dalí	OK	1	278133
Frida Kahlo	Frida Kahlo	OK	1	502992
Diego Rivera	Diego Rivera	OK	1	124552
Georgia O'Keeffe	Georgia O'Keeffe	OK	1	115055
Andy Warhol	Andy Warhol	OK	1	429826
Jackson Pollock	Jackson Pollock	OK	1	141784
Roy Lichtenstein	Roy Lichtenstein	OK	1	49693
Keith Haring	Keith Haring	OK	1	140198
Jean-Michel Basquiat	Jean-Michel Basquiat	OK	1	305810
Banksy	Banksy	OK	0	203261
Ai Weiwei	Ai Weiwei	OK	1	53474
Yayoi Kusama	Yayoi Kusama	OK	1	486695
Marina Abramović	Marina Abramović	OK	1	254505
M. C. Escher	M. C. Escher	OK	1	108739
Auguste Rodin	Auguste Rodin	OK	1	54095
Antoni Gaudí	Antoni Gaudí	OK	1	274457
Bob Ross	Bob Ross	OK	1	338053
William Shakespeare	William Shakespeare	OK	1	771219
William Blake	William Blake	OK	1	144432
Lord Byron	Lord Byron	OK	1	225125
Jane Austen	Jane Austen	OK	1	407284
Charles Dickens	Charles Dickens	OK	1	283231
Charlotte Brontë	Charlotte Brontë	OK	1	146830
Emily Brontë	Emily Brontë	OK	1	176121
Oscar Wilde	Oscar Wilde	OK	1	383369
Arthur Conan Doyle	Arthur Conan Doyle	OK	1	195129
Lewis Carroll	Lewis Carroll	OK	1	167084
Rudyard Kipling	Rudyard Kipling	OK	1	211488
H. G. Wells	H. G. Wells	OK	1	176959
J. R. R. Tolkien	J. R. R. Tolkien	OK	1	584205
C. S. Lewis	C. S. Lewis	OK	1	323487
George Orwell	George Orwell	OK	1	368494
Aldous Huxley	Aldous Huxley	OK	1	153036
Virginia Woolf	Virginia Woolf	OK	1	277998
Agatha Christie	Agatha Christie	OK	1	395907
Roald Dahl	Roald Dahl	OK	1	475690
J. K. Rowling	J. K. Rowling	OK	1	495730
Mary Shelley	Mary Shelley	OK	1	249165
Bram Stoker	Bram Stoker	OK	1	123482
Robert Louis Stevenson	Robert Louis Stevenson	OK	1	142985
Beatrix Potter	Beatrix Potter	OK	1	128981
Dr. Seuss	Dr. Seuss	OK	1	238152
Maurice Sendak	Maurice Sendak	OK	0	42195
Shel Silverstein	Shel Silverstein	OK	1	149836
Hans Christian Andersen	Hans Christian Andersen	OK	1	177921
Mark Twain	Mark Twain	OK	1	331746
Edgar Allan Poe	Edgar Allan Poe	OK	1	346080
Walt Whitman	Walt Whitman	OK	1	144700
Emily Dickinson	Emily Dickinson	OK	1	128557
Herman Melville	Herman Melville	OK	1	126224
F. Scott Fitzgerald	F. Scott Fitzgerald	OK	1	208159
Ernest Hemingway	Ernest Hemingway	OK	1	556779
John Steinbeck	John Steinbeck	OK	1	268540
William Faulkner	William Faulkner	OK	1	182894
Truman Capote	Truman Capote	OK	1	244494
Harper Lee	Harper Lee	OK	1	141988
Maya Angelou	Maya Angelou	OK	1	194037
Toni Morrison	Toni Morrison	OK	1	172722
James Baldwin	James Baldwin	OK	1	226231
Jack Kerouac	Jack Kerouac	OK	1	165275
Kurt Vonnegut	Kurt Vonnegut	OK	1	216194
J. D. Salinger	J. D. Salinger	OK	1	176754
Stephen King	Stephen King	OK	1	556278
Margaret Atwood	Margaret Atwood	OK	1	212815
George R. R. Martin	George R. R. Martin	OK	1	683298
Isaac Asimov	Isaac Asimov	OK	1	259831
Arthur C. Clarke	Arthur C. Clarke	OK	1	175814
Ray Bradbury	Ray Bradbury	OK	1	160025
Frank Herbert	Frank Herbert	OK	1	145521
Philip K. Dick	Philip K. Dick	OK	1	218218
Douglas Adams	Douglas Adams	OK	1	133027
Salman Rushdie	Salman Rushdie	OK	1	273515
Gabriel García Márquez	Gabriel García Márquez	OK	1	152146
Jorge Luis Borges	Jorge Luis Borges	OK	1	130718
Pablo Neruda	Pablo Neruda	OK	1	68386
Haruki Murakami	Haruki Murakami	OK	1	198655
Leo Tolstoy	Leo Tolstoy	OK	1	232506
Fyodor Dostoevsky	Fyodor Dostoevsky	OK	1	472965
Alexander Pushkin	Alexander Pushkin	OK	1	123648
Franz Kafka	Franz Kafka	OK	1	377925
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe	OK	1	165022
Dante Alighieri	Dante Alighieri	OK	1	269040
Miguel de Cervantes	Miguel de Cervantes	OK	1	103135
Victor Hugo	Victor Hugo	OK	1	184841
Alexandre Dumas	Alexandre Dumas	OK	1	283181
Jules Verne	Jules Verne	OK	1	158490
Albert Camus	Albert Camus	OK	1	259825
Jean-Paul Sartre	Jean-Paul Sartre	OK	1	166221
Voltaire	Voltaire	OK	1	193175
Niccolò Machiavelli	Niccolò Machiavelli	OK	1	248394
Immanuel Kant	Immanuel Kant	OK	1	213553
Friedrich Nietzsche	Friedrich Nietzsche	OK	1	409588
Malcolm Gladwell	Malcolm Gladwell	OK	1	82957
Alan Moore	Alan Moore	OK	1	125344
Frank Miller	Frank Miller	OK	1	112082
Bill Watterson	Bill Watterson	OK	1	75053
Gary Larson	Gary Larson	OK	0	48564
Charles Schulz	Charles M. Schulz	OK	1	89272
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart	OK	1	483749
Ludwig van Beethoven	Ludwig van Beethoven	OK	1	313796
Johann Sebastian Bach	Johann Sebastian Bach	OK	1	178742
Frédéric Chopin	Frédéric Chopin	OK	1	182724
Pyotr Tchaikovsky	Pyotr Ilyich Tchaikovsky	OK	1	145143
Antonio Vivaldi	Antonio Vivaldi	OK	1	113911
George Frideric Handel	George Frideric Handel	OK	1	71326
Richard Wagner	Richard Wagner	OK	1	161817
Franz Liszt	Franz Liszt	OK	1	111449
Johannes Brahms	Johannes Brahms	OK	1	65784
Giuseppe Verdi	Giuseppe Verdi	OK	1	57718
Igor Stravinsky	Igor Stravinsky	OK	1	75836
Leonard Bernstein	Leonard Bernstein	OK	1	127670
Luciano Pavarotti	Luciano Pavarotti	OK	1	180526
Andrea Bocelli	Andrea Bocelli	OK	1	303597
Maria Callas	Maria Callas	OK	1	170008
Yo-Yo Ma	Yo-Yo Ma	OK	1	88398
Lang Lang	Lang Lang	OK	1	54023
John Williams	John Williams	OK	1	407128
Hans Zimmer	Hans Zimmer	OK	1	385105
Ennio Morricone	Ennio Morricone	OK	1	103042
Ryuichi Sakamoto	Ryuichi Sakamoto	OK	1	89827
A. R. Rahman	A. R. Rahman	OK	1	201600
Ravi Shankar	Ravi Shankar	OK	1	150528
Andrew Lloyd Webber	Andrew Lloyd Webber	OK	1	226100
Stephen Sondheim	Stephen Sondheim	OK	1	140267
Lin-Manuel Miranda	Lin-Manuel Miranda	OK	1	441328
Rudolf Nureyev	Rudolf Nureyev	OK	1	71835
Mikhail Baryshnikov	Mikhail Baryshnikov	OK	1	162353
Liberace	Liberace	OK	1	214074
Alfred Hitchcock	Alfred Hitchcock	OK	1	347818
Orson Welles	Orson Welles	OK	1	388470
Stanley Kubrick	Stanley Kubrick	OK	1	527596
Steven Spielberg	Steven Spielberg	OK	1	1493716
George Lucas	George Lucas	OK	1	387141
Martin Scorsese	Martin Scorsese	OK	1	664350
Francis Ford Coppola	Francis Ford Coppola	OK	1	420855
Quentin Tarantino	Quentin Tarantino	OK	1	613305
Tim Burton	Tim Burton	OK	1	377983
Wes Anderson	Wes Anderson	OK	1	341975
Christopher Nolan	Christopher Nolan	OK	1	3957849
James Cameron	James Cameron	OK	1	558818
Ridley Scott	Ridley Scott	OK	1	620564
Peter Jackson	Peter Jackson	OK	1	264228
Guillermo del Toro	Guillermo del Toro	OK	1	258560
Hayao Miyazaki	Hayao Miyazaki	OK	1	283628
Akira Kurosawa	Akira Kurosawa	OK	1	231473
Federico Fellini	Federico Fellini	OK	1	91402
