rank,tier,name,section,views_3mo,wikipedia_title,flag
1423,C,Mukesh Ambani,TECH & BUSINESS,242441,Mukesh Ambani,
1424,C,Rosalía,MODERN POP,368997,Rosalía,
1425,C,Joe Montana,AMERICAN FOOTBALL,116024,Joe Montana,
1426,C,Daniel Boone,"EXPLORERS, PIRATES, WILD WEST & OUTLAWS",157602,Daniel Boone,
1427,C,Angela Merkel,WORLD LEADERS (HISTORICAL),163061,Angela Merkel,
1428,C,David Ortiz,BASEBALL & HOCKEY,110408,David Ortiz,
1429,C,Franz Beckenbauer,SOCCER,364246,Franz Beckenbauer,
1430,C,MS Dhoni,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",256655,MS Dhoni,
1431,C,Albert Camus,WRITERS & PHILOSOPHERS,259825,Albert Camus,
1432,C,John Goodman,CLASSIC HOLLYWOOD,444522,John Goodman,
1433,C,Macklemore,HIP-HOP & R&B,104597,Macklemore,
1434,C,John Mulaney,COMEDIANS,337984,John Mulaney,
1435,C,Dick Cheney,US PRESIDENTS & POLITICIANS,282600,Dick Cheney,
1436,C,Pat Riley,BASKETBALL,224184,Pat Riley,
1437,C,John von Neumann,"SCIENTISTS, INVENTORS & THINKERS",159476,John von Neumann,
1438,C,Marc Chagall,"ARTISTS, ARCHITECTS & PHOTOGRAPHERS",73462,Marc Chagall,
1439,C,Marvin Hagler,"BOXING, MMA, WRESTLING & STRENGTH",87353,Marvelous Marvin Hagler,
1440,C,Olivia Newton-John,ROCK & POP LEGENDS,466983,Olivia Newton-John,
1441,C,Empress Dowager Cixi,"MEDIEVAL, RENAISSANCE & EARLY MODERN RULERS AND WARRIORS",122836,Empress Dowager Cixi,
1442,C,Orson Welles,FILM DIRECTORS,388470,Orson Welles,
1443,C,Christian Dior,FASHION & MODELS,134099,Christian Dior,
1444,C,Rudolf Nureyev,"COMPOSERS, CLASSICAL & STAGE",71835,Rudolf Nureyev,
1445,C,Heath Ledger,MODERN ACTORS,1054768,Heath Ledger,
1446,C,J. P. Morgan,TECH & BUSINESS,230100,J. P. Morgan,
1447,C,Zayn Malik,MODERN POP,362443,Zayn Malik,
1448,C,Michael Strahan,AMERICAN FOOTBALL,115754,Michael Strahan,
1449,C,Paul Revere,"EXPLORERS, PIRATES, WILD WEST & OUTLAWS",151382,Paul Revere,
1450,C,Gamal Abdel Nasser,WORLD LEADERS (HISTORICAL),157990,Gamal Abdel Nasser,
1451,C,Willie Mays,BASEBALL & HOCKEY,97254,Willie Mays,
1452,C,Alex Ferguson,SOCCER,363420,Alex Ferguson,
1453,C,Boris Becker,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",194884,Boris Becker,
1454,C,Mary Shelley,WRITERS & PHILOSOPHERS,249165,Mary Shelley,
1455,C,Cary Grant,CLASSIC HOLLYWOOD,432937,Cary Grant,
1456,C,Chance the Rapper,HIP-HOP & R&B,83805,Chance the Rapper,
1457,C,Stephen Fry,COMEDIANS,333321,Stephen Fry,
1458,C,Eleanor Roosevelt,US PRESIDENTS & POLITICIANS,277991,Eleanor Roosevelt,
1459,C,Bill Russell,BASKETBALL,220476,Bill Russell,
1460,C,René Descartes,"SCIENTISTS, INVENTORS & THINKERS",158872,René Descartes,
1461,C,Hokusai,"ARTISTS, ARCHITECTS & PHOTOGRAPHERS",69909,Hokusai,
1462,C,Jack Dempsey,"BOXING, MMA, WRESTLING & STRENGTH",84428,Jack Dempsey,
1463,C,Paul Simon,ROCK & POP LEGENDS,460715,Paul Simon,
1464,C,Rani Lakshmibai,"MEDIEVAL, RENAISSANCE & EARLY MODERN RULERS AND WARRIORS",122703,Rani of Jhansi,
1465,C,David Fincher,FILM DIRECTORS,383994,David Fincher,
1466,C,Claudia Schiffer,FASHION & MODELS,93817,Claudia Schiffer,
1467,C,George Frideric Handel,"COMPOSERS, CLASSICAL & STAGE",71326,George Frideric Handel,
1468,C,Sandra Bullock,MODERN ACTORS,1041554,Sandra Bullock,
