rank,tier,name,section,views_3mo,wikipedia_title,flag
1931,C,Rachel Zegler,MODERN ACTORS,379170,Rachel Zegler,
1932,C,Maggie Smith,MODERN ACTORS,377549,Maggie Smith,
1933,C,Glenn Close,MODERN ACTORS,365882,Glenn Close,
1934,C,John Malkovich,MODERN ACTORS,364166,John Malkovich,
1935,C,Sigourney Weaver,MODERN ACTORS,363998,Sigourney Weaver,
1936,C,Natasha Lyonne,MODERN ACTORS,362096,Natasha Lyonne,
1937,C,Hayden Christensen,MODERN ACTORS,350094,Hayden Christensen,
1938,C,Julia Garner,MODERN ACTORS,349982,Julia Garner,
1939,C,John Turturro,MODERN ACTORS,344201,John Turturro,
1940,C,Evan Peters,MODERN ACTORS,343486,Evan Peters,
1941,C,Jeremy Renner,MODERN ACTORS,343349,Jeremy Renner,
1942,C,Aishwarya Rai,MODERN ACTORS,341105,Aishwarya Rai,
1943,C,Awkwafina,MODERN ACTORS,332563,Awkwafina,
1944,C,Laurence Fishburne,MODERN ACTORS,331968,Laurence Fishburne,
1945,C,Jamie Foxx,MODERN ACTORS,330212,Jamie Foxx,
1946,C,Deepika Padukone,MODERN ACTORS,328212,Deepika Padukone,
1947,C,Rosario Dawson,MODERN ACTORS,326639,Rosario Dawson,
1948,C,Chris Pine,MODERN ACTORS,319007,Chris Pine,
1949,C,Daisy Ridley,MODERN ACTORS,317514,Daisy Ridley,
1950,C,Alicia Silverstone,MODERN ACTORS,308136,Alicia Silverstone,
1951,C,Paul Dano,MODERN ACTORS,307411,Paul Dano,
1952,C,Matt LeBlanc,MODERN ACTORS,303565,Matt LeBlanc,
1953,C,Michael Shannon,MODERN ACTORS,302290,Michael Shannon,
1954,C,Ranveer Singh,MODERN ACTORS,300882,Ranveer Singh,
1955,C,Hrithik Roshan,MODERN ACTORS,286238,Hrithik Roshan,
1956,C,Anthony Mackie,MODERN ACTORS,282210,Anthony Mackie,
1957,C,Rupert Grint,MODERN ACTORS,276835,Rupert Grint,
1958,C,Angela Bassett,MODERN ACTORS,275909,Angela Bassett,
1959,C,Queen Latifah,MODERN ACTORS,274791,Queen Latifah,
1960,C,David Schwimmer,MODERN ACTORS,270452,David Schwimmer,
1961,C,Diego Luna,MODERN ACTORS,257103,Diego Luna,
1962,C,Wesley Snipes,MODERN ACTORS,256464,Wesley Snipes,
1963,C,Jeffrey Wright,MODERN ACTORS,253183,Jeffrey Wright,
1964,C,Ming-Na Wen,MODERN ACTORS,252641,Ming-Na Wen,
1965,C,Zachary Levi,MODERN ACTORS,249083,Zachary Levi,
1966,C,Marion Cotillard,MODERN ACTORS,247250,Marion Cotillard,
1967,C,Martin Freeman,MODERN ACTORS,246866,Martin Freeman,
1968,C,Djimon Hounsou,MODERN ACTORS,240894,Djimon Hounsou,
1969,C,Forest Whitaker,MODERN ACTORS,234930,Forest Whitaker,
1970,C,Simu Liu,MODERN ACTORS,231970,Simu Liu,
1971,C,Daniel Kaluuya,MODERN ACTORS,219834,Daniel Kaluuya,
1972,C,Hiroyuki Sanada,MODERN ACTORS,201807,Hiroyuki Sanada,
1973,C,Sterling K. Brown,MODERN ACTORS,200621,Sterling K. Brown,
1974,C,Finn Wolfhard,MODERN ACTORS,199922,Finn Wolfhard,
1975,C,Sandra Oh,MODERN ACTORS,197964,Sandra Oh,
1976,C,Letitia Wright,MODERN ACTORS,177199,Letitia Wright,
1977,C,Lee Byung-hun,MODERN ACTORS,172201,Lee Byung-hun,
1978,C,Zhang Ziyi,MODERN ACTORS,117739,Zhang Ziyi,
1979,C,Winston Duke,MODERN ACTORS,107701,Winston Duke,
1980,C,Ian McDiarmid,MODERN ACTORS,103239,Ian McDiarmid,
1981,C,Song Kang-ho,MODERN ACTORS,95023,Song Kang-ho,
1982,C,Gong Li,MODERN ACTORS,89596,Gong Li,
1983,C,John Boyega,MODERN ACTORS,88422,John Boyega,
1984,C,Lee Jung-jae,MODERN ACTORS,84869,Lee Jung-jae,
1985,C,Takeshi Kitano,MODERN ACTORS,73704,Takeshi Kitano,
1986,C,Roberto Benigni,MODERN ACTORS,66983,Roberto Benigni,
1987,C,Andy Lau,MODERN ACTORS,60808,Andy Lau,
