rank,name,section,views_3mo,wikipedia_title,flag
1342,Nadia Comăneci,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",145588,Nadia Comăneci,
1343,The Count of Monte Cristo,FICTIONAL & FOLKLORE (public domain only) / Literature,31665,Edmond Dantès,
1344,Nostradamus,"MEDIEVAL, RENAISSANCE & EARLY MODERN RULERS AND WARRIORS",145915,Nostradamus,
1345,Jonas Salk,"SCIENTISTS, INVENTORS & THINKERS",80601,Jonas Salk,
1346,William Faulkner,WRITERS & PHILOSOPHERS,182894,William Faulkner,
1347,Bong Joon-ho,FILM DIRECTORS,152365,Bong Joon Ho,
1348,Angela Lansbury,CLASSIC HOLLYWOOD,417101,Angela Lansbury,
1349,Jennifer Lawrence,MODERN ACTORS,855103,Jennifer Lawrence,
1350,Bob Saget,COMEDIANS,325660,Bob Saget,
1351,David Copperfield,"TV HOSTS, CHEFS, MAGICIANS & PERSONALITIES",100759,David Copperfield,
1352,Yoko Ono,ROCK & POP LEGENDS,457038,Yoko Ono,
1353,Pharrell Williams,MODERN POP,256408,Pharrell Williams,
1354,Busta Rhymes,HIP-HOP & R&B,142840,Busta Rhymes,
1355,Vince Carter,BASKETBALL,129469,Vince Carter,
1356,Rocky Marciano,"BOXING, MMA, WRESTLING & STRENGTH",154033,Rocky Marciano,
1357,Valentino Rossi,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",142229,Valentino Rossi,
1358,The Mad Hatter,FICTIONAL & FOLKLORE (public domain only) / Literature,30167,Mad Hatter,
1359,Leif Erikson,"MEDIEVAL, RENAISSANCE & EARLY MODERN RULERS AND WARRIORS",144698,Leif Erikson,
1360,Vishy Anand,"SCIENTISTS, INVENTORS & THINKERS",78006,Viswanathan Anand,
1361,Hans Christian Andersen,WRITERS & PHILOSOPHERS,177921,Hans Christian Andersen,
1362,Kathryn Bigelow,FILM DIRECTORS,149509,Kathryn Bigelow,
1363,Betty White,CLASSIC HOLLYWOOD,416661,Betty White,
1364,Matthew McConaughey,MODERN ACTORS,841470,Matthew McConaughey,
1365,Chris Farley,COMEDIANS,311877,Chris Farley,
1366,Penn Jillette,"TV HOSTS, CHEFS, MAGICIANS & PERSONALITIES",94932,Penn Jillette,
1367,Boy George,ROCK & POP LEGENDS,451031,Boy George,
1368,Lorde,MODERN POP,250749,Lorde,
1369,Flavor Flav,HIP-HOP & R&B,131220,Flavor Flav,
1370,James Naismith,BASKETBALL,68880,James Naismith,
1371,Shawn Michaels,"BOXING, MMA, WRESTLING & STRENGTH",151754,Shawn Michaels,
1372,Florence Griffith Joyner,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",139721,Florence Griffith Joyner,
1373,Tom Sawyer,FICTIONAL & FOLKLORE (public domain only) / Literature,28766,Tom Sawyer,
1374,Toyotomi Hideyoshi,"MEDIEVAL, RENAISSANCE & EARLY MODERN RULERS AND WARRIORS",128211,Toyotomi Hideyoshi,
1375,Grace Hopper,"SCIENTISTS, INVENTORS & THINKERS",69552,Grace Hopper,
1376,H. G. Wells,WRITERS & PHILOSOPHERS,176959,H. G. Wells,
1377,Edgar Wright,FILM DIRECTORS,149416,Edgar Wright,
1378,James Stewart,CLASSIC HOLLYWOOD,409082,James Stewart,
1379,Zoë Kravitz,MODERN ACTORS,829002,Zoë Kravitz,
1380,Andy Samberg,COMEDIANS,293288,Andy Samberg,
1381,Salt Bae,"TV HOSTS, CHEFS, MAGICIANS & PERSONALITIES",77887,Salt Bae,
1382,Courtney Love,ROCK & POP LEGENDS,447183,Courtney Love,
1383,Niall Horan,MODERN POP,247321,Niall Horan,
1384,Missy Elliott,HIP-HOP & R&B,127877,Missy Elliott,
1385,Mike Krzyzewski,BASKETBALL,38064,Mike Krzyzewski,
1386,Lennox Lewis,"BOXING, MMA, WRESTLING & STRENGTH",151109,Lennox Lewis,
1387,Eddie the Eagle,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",138282,Eddie the Eagle,
1388,John Carter of Mars,FICTIONAL & FOLKLORE (public domain only) / Literature,28193,John Carter of Mars,story PD; ERB Inc litigates trademark
1389,Empress Dowager Cixi,"MEDIEVAL, RENAISSANCE & EARLY MODERN RULERS AND WARRIORS",122836,Empress Dowager Cixi,
1390,Tycho Brahe,"SCIENTISTS, INVENTORS & THINKERS",68182,Tycho Brahe,
1391,J. D. Salinger,WRITERS & PHILOSOPHERS,176754,J. D. Salinger,
1392,Ingmar Bergman,FILM DIRECTORS,145149,Ingmar Bergman,
1393,John Ritter,CLASSIC HOLLYWOOD,402125,John Ritter,
1394,Chiwetel Ejiofor,MODERN ACTORS,797316,Chiwetel Ejiofor,
1395,Phil Hartman,COMEDIANS,273267,Phil Hartman,
1396,Jack LaLanne,"TV HOSTS, CHEFS, MAGICIANS & PERSONALITIES",75153,Jack LaLanne,
1397,Gwen Stefani,ROCK & POP LEGENDS,434740,Gwen Stefani,
1398,Carlos Santana,MODERN POP,243190,Carlos Santana,
1399,Master P,HIP-HOP & R&B,115248,Master P,
1400,Randy Orton,"BOXING, MMA, WRESTLING & STRENGTH",149932,Randy Orton,
1401,Danica Patrick,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",130269,Danica Patrick,
1402,Tigger,FICTIONAL & FOLKLORE (public domain only) / Literature,26830,Tigger,"Shepard-style only, not Disney"
1403,Rani Lakshmibai,"MEDIEVAL, RENAISSANCE & EARLY MODERN RULERS AND WARRIORS",122703,Rani of Jhansi,
1404,Johannes Kepler,"SCIENTISTS, INVENTORS & THINKERS",65499,Johannes Kepler,
1405,Emily Brontë,WRITERS & PHILOSOPHERS,176121,Emily Brontë,
1406,Park Chan-wook,FILM DIRECTORS,140464,Park Chan-wook,
1407,Lucille Ball,CLASSIC HOLLYWOOD,400952,Lucille Ball,
1408,Jake Gyllenhaal,MODERN ACTORS,793551,Jake Gyllenhaal,
1409,Bill Hader,COMEDIANS,269194,Bill Hader,
1410,David Blaine,"TV HOSTS, CHEFS, MAGICIANS & PERSONALITIES",71397,David Blaine,
1411,Tom Jones,ROCK & POP LEGENDS,430818,Tom Jones (singer),
1412,Sam Smith,MODERN POP,228018,Sam Smith,
1413,Lil Kim,HIP-HOP & R&B,113246,Lil' Kim,
1414,Joe Frazier,"BOXING, MMA, WRESTLING & STRENGTH",148980,Joe Frazier,
1415,Neeraj Chopra,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",128001,Neeraj Chopra,
1416,Sancho Panza,FICTIONAL & FOLKLORE (public domain only) / Literature,25591,Sancho Panza,
1417,El Cid,"MEDIEVAL, RENAISSANCE & EARLY MODERN RULERS AND WARRIORS",103449,El Cid,
1418,Rachel Carson,"SCIENTISTS, INVENTORS & THINKERS",48305,Rachel Carson,
1419,Arthur C. Clarke,WRITERS & PHILOSOPHERS,175814,Arthur C. Clarke,
1420,Sergio Leone,FILM DIRECTORS,115358,Sergio Leone,
1421,Jeff Bridges,CLASSIC HOLLYWOOD,397500,Jeff Bridges,
1422,Jennifer Aniston,MODERN ACTORS,791890,Jennifer Aniston,
1423,George Carlin,COMEDIANS,265129,George Carlin,
1424,Criss Angel,"TV HOSTS, CHEFS, MAGICIANS & PERSONALITIES",53369,Criss Angel,
1425,Eddie Vedder,ROCK & POP LEGENDS,427962,Eddie Vedder,
1426,SZA,MODERN POP,222444,SZA,
1427,Macklemore,HIP-HOP & R&B,104597,Macklemore,
1428,Fedor Emelianenko,"BOXING, MMA, WRESTLING & STRENGTH",144965,Fedor Emelianenko,
1429,Shane Warne,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",124666,Shane Warne,
1430,The Scarecrow,FICTIONAL & FOLKLORE (public domain only) / Literature,23621,Scarecrow (Oz),
1431,Yasuke,"MEDIEVAL, RENAISSANCE & EARLY MODERN RULERS AND WARRIORS",85444,Yasuke,AC Shadows culture-war flashpoint
1432,Ivan Pavlov,"SCIENTISTS, INVENTORS & THINKERS",38929,Ivan Pavlov,
1433,Toni Morrison,WRITERS & PHILOSOPHERS,172722,Toni Morrison,
1434,Todd Phillips,FILM DIRECTORS,104261,Todd Phillips,
1435,Shirley Temple,CLASSIC HOLLYWOOD,397261,Shirley Temple,
1436,Emma Stone,MODERN ACTORS,791314,Emma Stone,
1437,Jimmy Carr,COMEDIANS,262219,Jimmy Carr,
1438,Billy Blanks,"TV HOSTS, CHEFS, MAGICIANS & PERSONALITIES",42964,Billy Blanks,
1439,Robbie Williams,ROCK & POP LEGENDS,426283,Robbie Williams,
1440,Lizzo,MODERN POP,212942,Lizzo,
1441,Lil Jon,HIP-HOP & R&B,85321,Lil Jon,
1442,Kimbo Slice,"BOXING, MMA, WRESTLING & STRENGTH",140788,Kimbo Slice,
1443,Richard Petty,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",120813,Richard Petty,
1444,Alice in Wonderland,FICTIONAL & FOLKLORE (public domain only) / Literature,21601,Alice (Alice's Adventures in Wonderland),
1445,Casanova,"MEDIEVAL, RENAISSANCE & EARLY MODERN RULERS AND WARRIORS",80791,Giacomo Casanova,
1446,Lewis Carroll,WRITERS & PHILOSOPHERS,167084,Lewis Carroll,
1447,Pedro Almodóvar,FILM DIRECTORS,103282,Pedro Almodóvar,
1448,Katharine Hepburn,CLASSIC HOLLYWOOD,397223,Katharine Hepburn,
1449,Stanley Tucci,MODERN ACTORS,784027,Stanley Tucci,
1450,Simon Pegg,COMEDIANS,259659,Simon Pegg,
1451,Marie Kondo,"TV HOSTS, CHEFS, MAGICIANS & PERSONALITIES",35323,Marie Kondo,
1452,Aretha Franklin,ROCK & POP LEGENDS,414075,Aretha Franklin,
1453,Adam Levine,MODERN POP,211986,Adam Levine,
1454,Chance the Rapper,HIP-HOP & R&B,83805,Chance the Rapper,
1455,Mick Foley,"BOXING, MMA, WRESTLING & STRENGTH",138727,Mick Foley,
1456,Katie Ledecky,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",106175,Katie Ledecky,
1457,The Queen of Hearts,FICTIONAL & FOLKLORE (public domain only) / Literature,21364,Queen of Hearts (Alice's Adventures in Wonderland),
1458,Shaka Zulu,"MEDIEVAL, RENAISSANCE & EARLY MODERN RULERS AND WARRIORS",78131,Shaka,
1459,Jean-Paul Sartre,WRITERS & PHILOSOPHERS,166221,Jean-Paul Sartre,
1460,John Woo,FILM DIRECTORS,99944,John Woo,
1461,Kirk Douglas,CLASSIC HOLLYWOOD,388072,Kirk Douglas,
1462,Natalie Portman,MODERN ACTORS,772884,Natalie Portman,
1463,Tracy Morgan,COMEDIANS,259058,Tracy Morgan,
1464,Dave Grohl,ROCK & POP LEGENDS,412308,Dave Grohl,
1465,Ricky Martin,MODERN POP,209750,Ricky Martin,
1466,Big Boi,HIP-HOP & R&B,61979,Big Boi,
1467,Chris Jericho,"BOXING, MMA, WRESTLING & STRENGTH",138691,Chris Jericho,
1468,Jeff Gordon,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",103925,Jeff Gordon,
1469,Phileas Fogg,FICTIONAL & FOLKLORE (public domain only) / Literature,18442,Phileas Fogg,
1470,Montezuma,"MEDIEVAL, RENAISSANCE & EARLY MODERN RULERS AND WARRIORS",72366,Moctezuma II,
1471,Jack Kerouac,WRITERS & PHILOSOPHERS,165275,Jack Kerouac,
1472,Michael Moore,FILM DIRECTORS,99450,Michael Moore,
1473,Peter O'Toole,CLASSIC HOLLYWOOD,376839,Peter O'Toole,
1474,Julia Roberts,MODERN ACTORS,772784,Julia Roberts,
1475,Eddie Izzard,COMEDIANS,254218,Eddie Izzard,
1476,Jim Morrison,ROCK & POP LEGENDS,405022,Jim Morrison,
1477,Jimin,MODERN POP,209359,Jimin,
1478,Chuck D,HIP-HOP & R&B,50470,Chuck D,
1479,Nate Diaz,"BOXING, MMA, WRESTLING & STRENGTH",138512,Nate Diaz,
1480,Arnold Palmer,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",99938,Arnold Palmer,
1481,The Cowardly Lion,FICTIONAL & FOLKLORE (public domain only) / Literature,15400,Cowardly Lion,
1482,Erik the Red,"MEDIEVAL, RENAISSANCE & EARLY MODERN RULERS AND WARRIORS",59333,Erik the Red,
1483,Johann Wolfgang von Goethe,WRITERS & PHILOSOPHERS,165022,Johann Wolfgang von Goethe,
1484,George A. Romero,FILM DIRECTORS,92745,George A. Romero,
1485,Farrah Fawcett,CLASSIC HOLLYWOOD,376759,Farrah Fawcett,
1486,Kirsten Dunst,MODERN ACTORS,771651,Kirsten Dunst,
1487,Chris Rock,COMEDIANS,248070,Chris Rock,
1488,Neil Young,ROCK & POP LEGENDS,400135,Neil Young,
1489,Karol G,MODERN POP,206902,Karol G,
1490,Grandmaster Flash,HIP-HOP & R&B,44875,Grandmaster Flash,
1491,Sugar Ray Leonard,"BOXING, MMA, WRESTLING & STRENGTH",137676,Sugar Ray Leonard,
1492,Mo Farah,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",94220,Mo Farah,
1493,Figaro,FICTIONAL & FOLKLORE (public domain only) / Literature,13007,The Barber of Seville (play),
1494,Sejong the Great,"MEDIEVAL, RENAISSANCE & EARLY MODERN RULERS AND WARRIORS",53965,Sejong the Great,
1495,Ray Bradbury,WRITERS & PHILOSOPHERS,160025,Ray Bradbury,
1496,Federico Fellini,FILM DIRECTORS,91402,Federico Fellini,
1497,Gene Hackman,CLASSIC HOLLYWOOD,376213,Gene Hackman,
1498,Bradley Cooper,MODERN ACTORS,757848,Bradley Cooper,
1499,Bernie Mac,COMEDIANS,243857,Bernie Mac,
1500,Brian Wilson,ROCK & POP LEGENDS,394845,Brian Wilson,
1501,Iggy Azalea,MODERN POP,200782,Iggy Azalea,
1502,Sir Mix-a-Lot,HIP-HOP & R&B,36649,Sir Mix-a-Lot,
1503,Bret Hart,"BOXING, MMA, WRESTLING & STRENGTH",135225,Bret Hart,
1504,Don Bradman,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",91350,Don Bradman,
1505,Lemuel Gulliver,FICTIONAL & FOLKLORE (public domain only) / Literature,4999,Lemuel Gulliver,
1506,Yi Sun-sin,"MEDIEVAL, RENAISSANCE & EARLY MODERN RULERS AND WARRIORS",53231,Yi Sun-sin,
1507,Jules Verne,WRITERS & PHILOSOPHERS,158490,Jules Verne,
1508,Cecil B. DeMille,FILM DIRECTORS,83660,Cecil B. DeMille,
1509,Humphrey Bogart,CLASSIC HOLLYWOOD,376146,Humphrey Bogart,
1510,Alan Cumming,MODERN ACTORS,729569,Alan Cumming,
1511,Zach Galifianakis,COMEDIANS,236877,Zach Galifianakis,
1512,Robert Plant,ROCK & POP LEGENDS,392498,Robert Plant,
1513,Sean Paul,MODERN POP,145186,Sean Paul,
1514,Joe Louis,"BOXING, MMA, WRESTLING & STRENGTH",134988,Joe Louis,
1515,Lindsey Vonn,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",89152,Lindsey Vonn,
1516,Hattori Hanzo,"MEDIEVAL, RENAISSANCE & EARLY MODERN RULERS AND WARRIORS",43839,Hattori Hanzō,
1517,Aldous Huxley,WRITERS & PHILOSOPHERS,153036,Aldous Huxley,
1518,Ed Wood,FILM DIRECTORS,70720,Ed Wood,
1519,John Candy,CLASSIC HOLLYWOOD,370436,John Candy,
1520,Josh Brolin,MODERN ACTORS,728916,Josh Brolin,
1521,Rodney Dangerfield,COMEDIANS,228102,Rodney Dangerfield,
1522,Sting,ROCK & POP LEGENDS,389598,Sting (musician),
1523,Gloria Estefan,MODERN POP,142314,Gloria Estefan,
1524,Becky Lynch,"BOXING, MMA, WRESTLING & STRENGTH",127387,Becky Lynch,
1525,Greg Norman,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",85591,Greg Norman,
1526,Date Masamune,"MEDIEVAL, RENAISSANCE & EARLY MODERN RULERS AND WARRIORS",25957,Date Masamune,
1527,Gabriel García Márquez,WRITERS & PHILOSOPHERS,152146,Gabriel García Márquez,
1528,Zhang Yimou,FILM DIRECTORS,47180,Zhang Yimou,
1529,Rita Hayworth,CLASSIC HOLLYWOOD,369474,Rita Hayworth,
1530,Alexander Skarsgård,MODERN ACTORS,728860,Alexander Skarsgård,
1531,Kate McKinnon,COMEDIANS,226078,Kate McKinnon,
1532,Dean Martin,ROCK & POP LEGENDS,378409,Dean Martin,
1533,Shaggy,MODERN POP,140199,Shaggy (musician),
1534,Ultimate Warrior,"BOXING, MMA, WRESTLING & STRENGTH",109027,Ultimate Warrior,
1535,Takeru Kobayashi,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",84907,Takeru Kobayashi,
1536,Shel Silverstein,WRITERS & PHILOSOPHERS,149836,Shel Silverstein,
1537,James Dean,CLASSIC HOLLYWOOD,368777,James Dean,
1538,Mark Wahlberg,MODERN ACTORS,728605,Mark Wahlberg,
1539,David Spade,COMEDIANS,220001,David Spade,
1540,Keith Richards,ROCK & POP LEGENDS,376052,Keith Richards,
1541,Lata Mangeshkar,MODERN POP,107255,Lata Mangeshkar,
1542,Roberto Durán,"BOXING, MMA, WRESTLING & STRENGTH",108920,Roberto Durán,
1543,Jonah Lomu,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",84818,Jonah Lomu,
1544,Charlotte Brontë,WRITERS & PHILOSOPHERS,146830,Charlotte Brontë,
1545,Tommy Lee Jones,CLASSIC HOLLYWOOD,367703,Tommy Lee Jones,
1546,Sally Field,MODERN ACTORS,727301,Sally Field,
1547,Dave Chappelle,COMEDIANS,218334,Dave Chappelle,
1548,Barry Manilow,ROCK & POP LEGENDS,374688,Barry Manilow,
1549,Pitbull,MODERN POP,97539,Pit bull,
1550,Roy Jones Jr.,"BOXING, MMA, WRESTLING & STRENGTH",107093,Roy Jones Jr.,
1551,Gary Player,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",82967,Gary Player,
1552,Frank Herbert,WRITERS & PHILOSOPHERS,145521,Frank Herbert,
1553,Clark Gable,CLASSIC HOLLYWOOD,341625,Clark Gable,
1554,Aamir Khan,MODERN ACTORS,726846,Aamir Khan,
1555,Jerry Lewis,COMEDIANS,215560,Jerry Lewis,
1556,Tom Petty,ROCK & POP LEGENDS,368497,Tom Petty,
1557,Psy,MODERN POP,93795,Psy,
1558,Randy Couture,"BOXING, MMA, WRESTLING & STRENGTH",103554,Randy Couture,
1559,Kapil Dev,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",81973,Kapil Dev,
1560,Walt Whitman,WRITERS & PHILOSOPHERS,144700,Walt Whitman,
1561,Richard Burton,CLASSIC HOLLYWOOD,340489,Richard Burton,
1562,Megan Fox,MODERN ACTORS,716593,Megan Fox,
1563,Howie Mandel,COMEDIANS,215273,Howie Mandel,
1564,Mel B,ROCK & POP LEGENDS,367310,Mel B,
1565,G-Dragon,MODERN POP,93478,G-Dragon,
1566,Chuck Liddell,"BOXING, MMA, WRESTLING & STRENGTH",98714,Chuck Liddell,
1567,Yuzuru Hanyu,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",78206,Yuzuru Hanyu,
1568,William Blake,WRITERS & PHILOSOPHERS,144432,William Blake,
1569,Danny Glover,CLASSIC HOLLYWOOD,338404,Danny Glover,
1570,Blake Lively,MODERN ACTORS,706015,Blake Lively,
1571,Ray Romano,COMEDIANS,214867,Ray Romano,
1572,Alice Cooper,ROCK & POP LEGENDS,363123,Alice Cooper,
1573,Luis Miguel,MODERN POP,83937,Luis Miguel,
1574,Bill Goldberg,"BOXING, MMA, WRESTLING & STRENGTH",95277,Bill Goldberg,
1575,Carl Lewis,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",75455,Carl Lewis,
1576,Robert Louis Stevenson,WRITERS & PHILOSOPHERS,142985,Robert Louis Stevenson,
1577,James Earl Jones,CLASSIC HOLLYWOOD,330364,James Earl Jones,
1578,James Gandolfini,MODERN ACTORS,702418,James Gandolfini,
1579,Joan Rivers,COMEDIANS,214342,Joan Rivers,
1580,Janis Joplin,ROCK & POP LEGENDS,363055,Janis Joplin,
1581,Jay Chou,MODERN POP,72361,Jay Chou,
1582,Amanda Nunes,"BOXING, MMA, WRESTLING & STRENGTH",90523,Amanda Nunes,
1583,Eliud Kipchoge,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",66669,Eliud Kipchoge,
1584,Harper Lee,WRITERS & PHILOSOPHERS,141988,Harper Lee,
1585,Sophia Loren,CLASSIC HOLLYWOOD,328957,Sophia Loren,
1586,Reese Witherspoon,MODERN ACTORS,700016,Reese Witherspoon,
1587,James Corden,COMEDIANS,211120,James Corden,
1588,Jack White,ROCK & POP LEGENDS,362388,Jack White,
1589,Juan Gabriel,MODERN POP,70819,Juan Gabriel,
1590,Marvin Hagler,"BOXING, MMA, WRESTLING & STRENGTH",87353,Marvelous Marvin Hagler,
1591,Kelly Slater,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",65657,Kelly Slater,
1592,Douglas Adams,WRITERS & PHILOSOPHERS,133027,Douglas Adams,
1593,Mark Hamill,CLASSIC HOLLYWOOD,328289,Mark Hamill,
1594,Cameron Diaz,MODERN ACTORS,695652,Cameron Diaz,
1595,Kenan Thompson,COMEDIANS,204580,Kenan Thompson,
1596,Chris Martin,ROCK & POP LEGENDS,361148,Chris Martin,
1597,Maluma,MODERN POP,66574,Maluma,
1598,Jack Dempsey,"BOXING, MMA, WRESTLING & STRENGTH",84428,Jack Dempsey,
1599,Shaun White,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",62400,Shaun White,
1600,Jorge Luis Borges,WRITERS & PHILOSOPHERS,130718,Jorge Luis Borges,
1601,Lauren Bacall,CLASSIC HOLLYWOOD,327676,Lauren Bacall,
1602,Denzel Washington,MODERN ACTORS,693146,Denzel Washington,
1603,Martin Lawrence,COMEDIANS,192091,Martin Lawrence,
1604,Lionel Richie,ROCK & POP LEGENDS,357056,Lionel Richie,
1605,Celia Cruz,MODERN POP,62827,Celia Cruz,
1606,Booker T,"BOXING, MMA, WRESTLING & STRENGTH",81516,Booker T (wrestler),
1607,Michelle Kwan,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",52892,Michelle Kwan,
1608,Beatrix Potter,WRITERS & PHILOSOPHERS,128981,Beatrix Potter,
1609,Ingrid Bergman,CLASSIC HOLLYWOOD,309024,Ingrid Bergman,
1610,Alfred Molina,MODERN ACTORS,687514,Alfred Molina,
1611,Gilda Radner,COMEDIANS,189955,Gilda Radner,
1612,Gene Simmons,ROCK & POP LEGENDS,356178,Gene Simmons,
1613,J Balvin,MODERN POP,61598,J Balvin,
1614,Antonio Inoki,"BOXING, MMA, WRESTLING & STRENGTH",76807,Antonio Inoki,
1615,Cathy Freeman,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",50275,Cathy Freeman,
1616,Emily Dickinson,WRITERS & PHILOSOPHERS,128557,Emily Dickinson,
1617,Henry Winkler,CLASSIC HOLLYWOOD,305610,Henry Winkler,
1618,Philip Seymour Hoffman,MODERN ACTORS,687095,Philip Seymour Hoffman,
1619,Billy Connolly,COMEDIANS,188263,Billy Connolly,
1620,Eddie Van Halen,ROCK & POP LEGENDS,345837,Eddie Van Halen,
1621,Peso Pluma,MODERN POP,56777,Peso Pluma,
1622,Royce Gracie,"BOXING, MMA, WRESTLING & STRENGTH",72148,Royce Gracie,
1623,Mary Kom,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",45729,Mary Kom,
1624,Herman Melville,WRITERS & PHILOSOPHERS,126224,Herman Melville,
1625,Roger Moore,CLASSIC HOLLYWOOD,297687,Roger Moore,
1626,Chris Hemsworth,MODERN ACTORS,686570,Chris Hemsworth,
1627,Bill Burr,COMEDIANS,178240,Bill Burr,
1628,Roy Orbison,ROCK & POP LEGENDS,337095,Roy Orbison,
1629,Vicente Fernández,MODERN POP,53632,Vicente Fernández,
1630,Zhang Weili,"BOXING, MMA, WRESTLING & STRENGTH",72111,Zhang Weili,
1631,Ian Thorpe,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",42991,Ian Thorpe,
1632,Alan Moore,WRITERS & PHILOSOPHERS,125344,Alan Moore,
1633,Vivien Leigh,CLASSIC HOLLYWOOD,296955,Vivien Leigh,
1634,Priyanka Chopra,MODERN ACTORS,683694,Priyanka Chopra,
1635,Andy Kaufman,COMEDIANS,173315,Andy Kaufman,
1636,Axl Rose,ROCK & POP LEGENDS,336824,Axl Rose,
1637,Umm Kulthum,MODERN POP,53432,Umm Kulthum,
1638,Jake the Snake Roberts,"BOXING, MMA, WRESTLING & STRENGTH",65821,Jake Roberts,
1639,Mark Spitz,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",42728,Mark Spitz,
1640,Alexander Pushkin,WRITERS & PHILOSOPHERS,123648,Alexander Pushkin,
1641,Rick Moranis,CLASSIC HOLLYWOOD,294814,Rick Moranis,
1642,Hailee Steinfeld,MODERN ACTORS,682489,Hailee Steinfeld,
1643,Tommy Chong,COMEDIANS,164300,Tommy Chong,
1644,Steven Tyler,ROCK & POP LEGENDS,335419,Steven Tyler,
1645,Teresa Teng,MODERN POP,53098,Teresa Teng,
1646,Julio César Chávez,"BOXING, MMA, WRESTLING & STRENGTH",65797,Julio César Chávez,
1647,Kim Yuna,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",35884,Yuna Kim,
1648,Bram Stoker,WRITERS & PHILOSOPHERS,123482,Bram Stoker,
1649,Fred Astaire,CLASSIC HOLLYWOOD,284686,Fred Astaire,
1650,Emma Thompson,MODERN ACTORS,677679,Emma Thompson,
1651,Katt Williams,COMEDIANS,162850,Katt Williams,
1652,Jimmy Page,ROCK & POP LEGENDS,332400,Jimmy Page,
1653,Wizkid,MODERN POP,51292,Wizkid,
1654,Bob Sapp,"BOXING, MMA, WRESTLING & STRENGTH",61408,Bob Sapp,
1655,Apolo Ohno,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",20599,Apolo Ohno,
1656,Frank Miller,WRITERS & PHILOSOPHERS,112082,Frank Miller,
1657,Bette Davis,CLASSIC HOLLYWOOD,283375,Bette Davis,
1658,Kristen Stewart,MODERN ACTORS,673453,Kristen Stewart,
1659,George Lopez,COMEDIANS,160881,George Lopez,
1660,Barry Gibb,ROCK & POP LEGENDS,331852,Barry Gibb,
1661,Shinsuke Nakamura,"BOXING, MMA, WRESTLING & STRENGTH",46575,Shinsuke Nakamura,
1662,Miguel de Cervantes,WRITERS & PHILOSOPHERS,103135,Miguel de Cervantes,
1663,Raquel Welch,CLASSIC HOLLYWOOD,271824,Raquel Welch,
1664,Mark Ruffalo,MODERN ACTORS,668037,Mark Ruffalo,
1665,Bob Hope,COMEDIANS,146063,Bob Hope,
1666,Ray Charles,ROCK & POP LEGENDS,328728,Ray Charles,
1667,Hakuho,"BOXING, MMA, WRESTLING & STRENGTH",42268,Hakuhō Shō,
1668,Charles Schulz,WRITERS & PHILOSOPHERS,89272,Charles M. Schulz,
1669,Eugene Levy,CLASSIC HOLLYWOOD,265059,Eugene Levy,
1670,Liam Neeson,MODERN ACTORS,667076,Liam Neeson,
1671,Sam Kinison,COMEDIANS,142424,Sam Kinison,
1672,Slash,ROCK & POP LEGENDS,327038,Slash (musician),
1673,Charles Atlas,"BOXING, MMA, WRESTLING & STRENGTH",23992,Charles Atlas,
1674,Malcolm Gladwell,WRITERS & PHILOSOPHERS,82957,Malcolm Gladwell,
1675,Doris Day,CLASSIC HOLLYWOOD,259600,Doris Day,
1676,Emilia Clarke,MODERN ACTORS,667020,Emilia Clarke,
1677,Cheech Marin,COMEDIANS,141027,Cheech Marin,
1678,Debbie Harry,ROCK & POP LEGENDS,323322,Debbie Harry,
