rank,name,section,views_3mo,wikipedia_title,flag
801,Kyrie Irving,BASKETBALL,322751,Kyrie Irving,
802,Lamar Jackson,AMERICAN FOOTBALL,144052,Lamar Jackson,
803,Wayne Rooney,SOCCER,856133,Wayne Rooney,
804,David Ortiz,BASEBALL & HOCKEY,110408,David Ortiz,
805,Jake Paul,"BOXING, MMA, WRESTLING & STRENGTH",261761,Jake Paul,
806,Ayrton Senna,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",379344,Ayrton Senna,
807,Lex Fridman,AI & MACHINE LEARNING,77137,Lex Fridman,
808,The Easter Bunny,FICTIONAL & FOLKLORE (public domain only) / Folklore & holiday,13679,Easter Bunny,
809,Scheherazade,FICTIONAL & FOLKLORE (public domain only) / Myth,61343,Scheherazade,
810,Long John Silver,FICTIONAL & FOLKLORE (public domain only) / Literature,67889,Long John Silver,
811,Xerxes,ANCIENT & CLASSICAL,211439,Xerxes I,
812,Mansa Musa,"MEDIEVAL, RENAISSANCE & EARLY MODERN RULERS AND WARRIORS",285964,Mansa Musa,
813,Paul Revere,"EXPLORERS, PIRATES, WILD WEST & OUTLAWS",151382,Paul Revere,
814,Lyndon Johnson,US PRESIDENTS & POLITICIANS,539650,Lyndon B. Johnson,
815,Kaiser Wilhelm,WORLD LEADERS (HISTORICAL),300698,Wilhelm II,
816,Sojourner Truth,"ACTIVISTS, CIVIL RIGHTS & WHISTLEBLOWERS",53965,Sojourner Truth,
817,Jane Goodall,"SCIENTISTS, INVENTORS & THINKERS",197122,Jane Goodall,
818,Mark Cuban,TECH & BUSINESS,259709,Mark Cuban,
819,Edvard Munch,"ARTISTS, ARCHITECTS & PHOTOGRAPHERS",109010,Edvard Munch,
820,Dante Alighieri,WRITERS & PHILOSOPHERS,269040,Dante Alighieri,
821,Ennio Morricone,"COMPOSERS, CLASSICAL & STAGE",103042,Ennio Morricone,
822,George Lucas,FILM DIRECTORS,387141,George Lucas,
823,Masahiro Sakurai,"GAME, COMICS & ANIMATION CREATORS",38237,Masahiro Sakurai,
824,Robert Redford,CLASSIC HOLLYWOOD,575398,Robert Redford,
825,Heath Ledger,MODERN ACTORS,1054768,Heath Ledger,
826,Bolo Yeung,ACTION & MARTIAL ARTS,56284,Bolo Yeung,
827,Steve Martin,COMEDIANS,448872,Steve Martin,
828,Stephen Colbert,"TV HOSTS, CHEFS, MAGICIANS & PERSONALITIES",227567,Stephen Colbert,
829,Donatella Versace,FASHION & MODELS,94964,Donatella Versace,
830,Chester Bennington,ROCK & POP LEGENDS,650689,Chester Bennington,
831,Celine Dion,MODERN POP,456801,Celine Dion,
832,Tyler the Creator,HIP-HOP & R&B,251936,"Tyler, the Creator",
833,Aphex Twin,"COUNTRY, EDM & OTHER",147588,Aphex Twin,
834,Klay Thompson,BASKETBALL,321841,Klay Thompson,
835,J. J. Watt,AMERICAN FOOTBALL,140105,J. J. Watt,
836,Son Heung-min,SOCCER,761444,Son Heung-min,
837,Willie Mays,BASEBALL & HOCKEY,97254,Willie Mays,
838,Kurt Angle,"BOXING, MMA, WRESTLING & STRENGTH",259751,Kurt Angle,
839,Rory McIlroy,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",365719,Rory McIlroy,
840,Eliezer Yudkowsky,AI & MACHINE LEARNING,70947,Eliezer Yudkowsky,
841,Jack the Giant Killer,FICTIONAL & FOLKLORE (public domain only) / Folklore & holiday,11996,Jack the Giant Killer,
842,Tengu,FICTIONAL & FOLKLORE (public domain only) / Myth,60067,Tengu,
843,Frankenstein's Monster,FICTIONAL & FOLKLORE (public domain only) / Literature,66429,Frankenstein's monster,
844,Qin Shi Huang,ANCIENT & CLASSICAL,182290,Qin Shi Huang,
845,Marquis de Lafayette,"MEDIEVAL, RENAISSANCE & EARLY MODERN RULERS AND WARRIORS",281489,Marquis de Lafayette,
846,John Hancock,"EXPLORERS, PIRATES, WILD WEST & OUTLAWS",141743,John Hancock,
847,Robert F. Kennedy,US PRESIDENTS & POLITICIANS,538324,Robert F. Kennedy,
848,Eva Perón,WORLD LEADERS (HISTORICAL),295245,Eva Perón,
849,Linus Torvalds,"SCIENTISTS, INVENTORS & THINKERS",195608,Linus Torvalds,
850,Kevin O'Leary,TECH & BUSINESS,258622,Kevin O'Leary,
851,M. C. Escher,"ARTISTS, ARCHITECTS & PHOTOGRAPHERS",108739,M. C. Escher,
852,John Steinbeck,WRITERS & PHILOSOPHERS,268540,John Steinbeck,
853,Ryuichi Sakamoto,"COMPOSERS, CLASSICAL & STAGE",89827,Ryuichi Sakamoto,
854,David Fincher,FILM DIRECTORS,383994,David Fincher,
855,Reggie Fils-Aimé,"GAME, COMICS & ANIMATION CREATORS",27992,Reggie Fils-Aimé,
856,Michael Douglas,CLASSIC HOLLYWOOD,573255,Michael Douglas,
857,Nicolas Cage,MODERN ACTORS,1048199,Nicolas Cage,
858,Pete Davidson,COMEDIANS,436045,Pete Davidson,
859,David Letterman,"TV HOSTS, CHEFS, MAGICIANS & PERSONALITIES",217406,David Letterman,
860,Claudia Schiffer,FASHION & MODELS,93817,Claudia Schiffer,
